id,pcf_pointer,team_id,team_name,short_name,full_name,shirt_number,shirt_number_reliable,position_original,position_normalized,role_primary,overall,overall_derived,attr_velocidad,attr_resistencia,attr_agresividad,attr_calidad,attr_remate,attr_regate,attr_pase,attr_tiro,attr_entradas,attr_portero,birth_date,age,nationality,birth_country,birth_place,height,weight,preferred_foot,market_value,salary,slot,skin,hair,source_file,source_offset,data_confidence
river-2025-8786,8786,river-2025,River,Angel,Juan Pablo ANGEL Arango,22,True,Delantero,FW,Delantero centro,79,79,78,82,80,79,86,92,76,80,66,11,1975-10-24,22,Colombia,Colombia,Medellín,183,70,,,,16,mulato,moreno,EQ003003.PKF,703739,original
river-2025-20807,20807,river-2025,River,Castillo,Cristian Gastón CASTILLO,20,True,Delantero,FW,Extremo derecho,84,84,90,84,75,90,83,86,68,88,60,11,1975-02-25,23,Argentina,Argentina,Capital Federal,172,70,,,,11,blanco,moreno,EQ003003.PKF,704368,original
river-2025-206,206,river-2025,River,Pizzi,Juan Antonio PIZZI Torroja,7,True,Delantero,FW,Delantero centro,80,80,84,78,80,79,88,81,75,83,55,9,1968-06-07,30,España,Argentina,Santa Fe (Argentina),185,84,,,,9,blanco,moreno,EQ003003.PKF,709381,original
river-2025-8920,8920,river-2025,River,Rambert,Sebastián Pascual RAMBERT,9,True,Delantero,FW,Extremo derecho,82,82,93,78,74,86,86,84,64,89,63,10,1974-01-30,24,Francia,Argentina,Bernal (BA),170,66,,,,17,blanco,moreno,EQ003003.PKF,713931,original
river-2025-8810,8810,river-2025,River,Aimar,Pablo César AIMAR,29,True,Medio,MF,Media punta por el centro,81,81,80,75,76,95,77,82,89,65,57,12,1979-11-03,18,Argentina,Argentina,Río Cuarto (Córdoba),168,60,,,,8,blanco,moreno,EQ003003.PKF,719678,original
san-lorenzo-1825-16450,16450,san-lorenzo-1825,San Lorenzo,Campagnuolo,Gustavo Jorge CAMPAGNUOLO,25,True,Portero,GK,Portero,78,78,79,78,77,78,25,25,40,35,45,77,1973-06-27,25,Argentina,Argentina,Capital Federal,190,80,,,,12,blanco,moreno,EQ003003.PKF,722546,original
san-lorenzo-1825-8812,8812,san-lorenzo-1825,San Lorenzo,Passet,Oscar Fernando PASSET,1,True,Portero,GK,Portero,83,83,84,85,84,82,19,23,25,18,23,81,1965-10-12,32,Argentina,Argentina,Santa Fé,190,86,,,,1,blanco,castano,EQ003003.PKF,724435,original
san-lorenzo-1825-8813,8813,san-lorenzo-1825,San Lorenzo,Angelucci,Gilberto ANGELUCCI Guión,12,True,Portero,GK,Portero,78,78,72,83,80,77,23,22,15,15,20,78,1967-08-07,30,Venezuela,Venezuela,Turén (Venezuela),193,86,,,,19,blanco,moreno,EQ003003.PKF,729660,original
san-lorenzo-1825-25636,25636,san-lorenzo-1825,San Lorenzo,Córdoba,Iván Ramiro CÓRDOBA Sepúlveda,3,True,Defensa,DF,Lateral izquierdo,71,71,72,71,78,65,50,60,70,70,80,15,1976-08-11,21,Colombia,Colombia,Medellín,,,,,,3,blanco,moreno,EQ003003.PKF,732716,original
san-lorenzo-1825-5340,5340,san-lorenzo-1825,San Lorenzo,Ameli,Horacio Andrés AMELI,2,True,Defensa,DF,Libre,82,82,83,79,79,87,66,73,78,62,84,25,1974-07-07,23,Argentina,Argentina,Rosario (Argentina),179,79,,,,4,blanco,moreno,EQ003003.PKF,733142,original
san-lorenzo-1825-17357,17357,san-lorenzo-1825,San Lorenzo,Lussenhoff,Federico Guillermo LUSSENHOFF,6,True,Defensa,DF,Central izquierdo,80,80,75,85,86,77,60,63,60,63,90,15,1974-01-14,24,Argentina,Argentina,Venado Tuerto (SF),188,75,,,,5,blanco,pelirrojo,EQ003003.PKF,735103,original
san-lorenzo-1825-6345,6345,san-lorenzo-1825,San Lorenzo,Paredes,Aldo Gustavo PAREDES,21,True,Defensa,DF,Lateral derecho,79,79,84,78,79,75,62,65,64,61,89,17,1972-02-15,26,Argentina,Argentina,Formosa,175,70,,,,13,blanco,moreno,EQ003003.PKF,741205,original
san-lorenzo-1825-8817,8817,san-lorenzo-1825,San Lorenzo,Manusovich,Damián Marcelo MANUSOVICH,14,True,Defensa,DF,Lateral izquierdo,79,79,81,80,82,74,68,62,68,67,84,12,1973-04-30,25,Argentina,Argentina,Capital Federal,175,68,,,,20,blanco,rubio,EQ003003.PKF,744740,original
san-lorenzo-1825-8818,8818,san-lorenzo-1825,San Lorenzo,Tuzzio,Eduardo Nicolás TUZZIO,4,True,Defensa,DF,Lateral derecho,78,78,79,80,78,77,64,61,64,65,86,13,1974-07-31,23,Argentina,Argentina,Capital Federal,185,78,,,,2,blanco,moreno,EQ003003.PKF,747862,original
san-lorenzo-1825-25448,25448,san-lorenzo-1825,San Lorenzo,Coudet,Eduardo Germán COUDET,8,True,Medio,MF,Interior derecho,81,81,78,82,85,82,69,86,87,67,63,14,1974-09-12,23,Argentina,Argentina,Capital Federal,178,70,,,,8,blanco,castano,EQ003003.PKF,751572,original
san-lorenzo-1825-2084,2084,san-lorenzo-1825,San Lorenzo,Borrelli,Juan José BORRELLI,20,True,Medio,MF,Media punta por el centro,79,79,80,77,75,85,65,86,86,63,62,10,1970-11-08,27,Argentina,Argentina,San Isidro (BA),175,72,,,,11,blanco,castano,EQ003003.PKF,756542,original
san-lorenzo-1825-17361,17361,san-lorenzo-1825,San Lorenzo,Estévez,Raúl Enrique ESTÉVEZ,7,True,Medio,MF,Media punta derecha,77,77,81,78,72,79,67,89,89,62,67,14,1978-01-21,20,Argentina,Argentina,Lomas de Zamora (BA),170,66,,,,7,blanco,moreno,EQ003003.PKF,760989,original
san-lorenzo-1825-17362,17362,san-lorenzo-1825,San Lorenzo,Saric,Mirko SARIC,16,True,Medio,MF,Medio centro defensivo,77,77,76,75,79,80,64,90,85,65,69,20,1978-06-06,20,Argentina,Argentina,Capital Federal,184,73,,,,15,blanco,moreno,EQ003003.PKF,765049,original
san-lorenzo-1825-8823,8823,san-lorenzo-1825,San Lorenzo,Galetto,Fernando Edgar GALETTO,5,True,Medio,MF,Medio centro organizador,82,82,76,82,78,93,63,81,83,67,69,17,1971-04-13,27,Argentina,Argentina,Monte Cristo (Córdoba),188,80,,,,6,blanco,moreno,EQ003003.PKF,767273,original
san-lorenzo-1825-8824,8824,san-lorenzo-1825,San Lorenzo,Basavilbaso,Federico BASAVILBASO,11,True,Medio,MF,Centrocampista izquierda,80,80,87,88,73,75,64,80,84,66,66,15,1974-03-24,24,Argentina,Argentina,Capital Federal,174,73,,,,14,blanco,castano,EQ003003.PKF,772283,original
san-lorenzo-1825-8826,8826,san-lorenzo-1825,San Lorenzo,Gorosito,Néstor Raúl GOROSITO,10,True,Medio,MF,Media punta por el centro,83,83,78,79,79,98,66,83,84,88,69,12,1964-05-14,34,Argentina,Argentina,San Fernando (BA),183,75,,,,10,blanco,moreno,EQ003003.PKF,775401,original
san-lorenzo-1825-8827,8827,san-lorenzo-1825,San Lorenzo,Rivadero,Claudio Alejandro RIVADERO,22,True,Medio,MF,Interior derecho,80,80,78,82,86,77,63,84,80,65,62,13,1970-12-28,27,Argentina,Argentina,Bell Ville (Córdoba),174,63,,,,22,blanco,moreno,EQ003003.PKF,783914,original
san-lorenzo-1825-8830,8830,san-lorenzo-1825,San Lorenzo,Figueroa,Diego Manuel FIGUEROA,17,True,Medio,MF,Media punta por el centro,79,79,82,78,75,83,67,81,88,65,66,20,1978-02-15,20,Argentina,Argentina,Lanús (BA),175,68,,,,23,blanco,moreno,EQ003003.PKF,787368,original
san-lorenzo-1825-8831,8831,san-lorenzo-1825,San Lorenzo,Montenegro,Ariel Alfredo MONTENEGRO,15,True,Medio,MF,Interior derecho,81,81,81,83,82,78,66,90,81,65,63,16,,,Argentina,Argentina,Capital Federal,180,72,,,,16,blanco,moreno,EQ003003.PKF,790129,original
san-lorenzo-1825-8832,8832,san-lorenzo-1825,San Lorenzo,Arbarello,Javier Alejandro ARBARELLO,26,True,Delantero,FW,Extremo derecho,78,78,86,79,74,75,88,81,62,82,61,17,1969-04-28,29,Argentina,Argentina,Ballesteros (Córdoba),175,69,,,,21,blanco,moreno,EQ003003.PKF,792721,original
san-lorenzo-1825-19110,19110,san-lorenzo-1825,San Lorenzo,Acosta,Alberto Federico ACOSTA,9,True,Delantero,FW,Delantero centro,78,78,78,77,78,79,84,75,72,76,50,9,1966-08-23,31,Argentina,Argentina,Arocena (Argentina),176,79,,,,9,blanco,moreno,EQ003003.PKF,794735,original
san-lorenzo-1825-25449,25449,san-lorenzo-1825,San Lorenzo,Coria,Adrián Norberto CORIA,19,True,Delantero,FW,Delantero centro,80,80,85,77,78,82,90,90,69,86,66,18,1976-07-30,21,Argentina,Argentina,José C. Paz (BA),183,72,,,,17,blanco,moreno,EQ003003.PKF,795612,original
san-lorenzo-1825-17366,17366,san-lorenzo-1825,San Lorenzo,Biaggio,Claudio Darío BIAGGIO,18,True,Delantero,FW,Delantero centro,82,82,90,81,80,80,90,87,68,85,60,12,1967-07-02,30,Argentina,Argentina,Santa Rosa (La Pampa),183,73,,,,18,blanco,moreno,EQ003003.PKF,800087,original
vélez-1506-25526,25526,vélez-1506,Vélez,De la Fuente,Ariel DE LA FUENTE,29,True,Portero,GK,Portero,77,77,78,77,77,77,25,32,34,29,35,85,1977-07-17,20,Argentina,Argentina,San Martín (BA),,,,,,12,blanco,moreno,EQ003003.PKF,806089,original
vélez-1506-8837,8837,vélez-1506,Vélez,Chilavert,José Luis Félix CHILAVERT González,1,True,Portero,GK,Portero,91,91,83,89,97,95,80,33,40,90,30,90,1965-07-27,32,Paraguay,Paraguay,Luque (Paraguay),192,90,,,,1,mulato,moreno,EQ003003.PKF,806468,original
vélez-1506-17368,17368,vélez-1506,Vélez,Bilbao,Rodrigo Martín BILBAO,21,True,Defensa,DF,Lateral izquierdo,79,79,81,86,77,75,64,66,68,61,89,12,1975-06-03,23,Argentina,Argentina,Morón (BA),176,69,,,,16,blanco,rubio,EQ003003.PKF,812795,original
vélez-1506-8839,8839,vélez-1506,Vélez,Cardozo,Raúl Ernesto CARDOZO,3,True,Defensa,DF,Lateral izquierdo,81,81,83,80,82,80,62,63,66,62,80,17,1967-10-28,30,Argentina,Argentina,Morón (BA),170,68,,,,19,blanco,moreno,EQ003003.PKF,815871,original
vélez-1506-8843,8843,vélez-1506,Vélez,Zandoná,Flavio Gabriel ZANDONÁ,4,True,Defensa,DF,Lateral derecho,80,80,90,79,77,75,64,60,66,68,89,11,1968-04-08,30,Argentina,Argentina,Zárate (BA),184,74,,,,2,blanco,moreno,EQ003003.PKF,820466,original
vélez-1506-8844,8844,vélez-1506,Vélez,Sotomayor,Víctor Hugo SOTOMAYOR,2,True,Defensa,DF,Central izquierdo,80,80,78,79,82,82,61,64,60,62,82,20,1968-01-21,30,Argentina,Argentina,Córdoba,187,80,,,,4,blanco,moreno,EQ003003.PKF,824565,original
vélez-1506-8845,8845,vélez-1506,Vélez,Méndez,Sebastián Ariel MÉNDEZ,15,True,Defensa,DF,Central izquierdo,79,79,79,79,80,80,67,67,65,62,80,18,1977-07-04,20,Argentina,Argentina,Capital Federal,184,73,,,,5,blanco,rubio,EQ003003.PKF,829321,original
vélez-1506-27548,27548,vélez-1506,Vélez,Castromán,Lucas Martín CASTROMÁN,26,True,Medio,MF,Medio centro defensivo,69,69,73,67,69,70,50,36,50,51,70,16,1980-10-02,17,Argentina,Argentina,Villa Flandria (BA),,,,,,20,blanco,moreno,EQ003003.PKF,832622,original
vélez-1506-17371,17371,vélez-1506,Vélez,Marangoni,Rodrigo Daniel MARANGONI,20,True,Medio,MF,Media punta izquierda,76,76,77,75,73,82,69,86,87,69,62,13,1978-02-21,20,Argentina,Argentina,Paraná (E.Ríos),170,63,,,,14,blanco,moreno,EQ003003.PKF,833185,original
vélez-1506-17372,17372,vélez-1506,Vélez,Cantoro,Roberto Mauro CANTORO,17,True,Medio,MF,Media punta por el centro,76,76,78,77,75,77,69,84,82,63,66,14,1976-09-01,21,Argentina,Argentina,Capital Federal,182,76,,,,17,blanco,moreno,EQ003003.PKF,836867,original
vélez-1506-17373,17373,vélez-1506,Vélez,Batalla,Juan Darío BATALLA,18,True,Medio,MF,Media punta por el centro,82,82,83,81,80,84,64,84,90,65,61,12,1978-09-18,19,Argentina,Argentina,San Isidro (BA),175,72,,,,18,blanco,moreno,EQ003003.PKF,839687,original
vélez-1506-8847,8847,vélez-1506,Vélez,Bassedas,Christian Gustavo BASSEDAS,7,True,Medio,MF,Interior izquierdo,83,83,82,85,83,85,64,87,85,66,63,14,1973-02-16,25,Argentina,Argentina,Capital Federal,174,70,,,,7,blanco,castano,EQ003003.PKF,842137,original
vélez-1506-8848,8848,vélez-1506,Vélez,Compagnucci,Carlos Horacio COMPAGNUCCI,16,True,Medio,MF,Medio centro defensivo,80,80,76,81,84,80,66,90,90,69,63,12,1968-08-06,29,Argentina,Argentina,Monte Buey (Cba),178,71,,,,6,blanco,castano,EQ003003.PKF,848286,original
vélez-1506-17374,17374,vélez-1506,Vélez,Cubero,Fabián CUBERO,13,True,Medio,MF,Medio centro defensivo,79,79,79,82,79,77,67,89,90,69,63,14,1978-12-21,19,Argentina,Argentina,Mar del Plata (BA),179,74,,,,13,blanco,moreno,EQ003003.PKF,853116,original
vélez-1506-8850,8850,vélez-1506,Vélez,Husaín C.,Claudio Daniel HUSAIN,8,True,Medio,MF,Interior derecho,80,80,77,81,86,78,63,86,86,69,63,16,1974-11-20,23,Argentina,Argentina,San Justo (BA),180,72,,,,3,blanco,moreno,EQ003003.PKF,856523,original
vélez-1506-8851,8851,vélez-1506,Vélez,Camps,Patricio Alejandro CAMPS,10,True,Medio,MF,Media punta por el centro,86,86,88,85,83,88,65,81,81,65,65,15,1972-01-22,26,Argentina,Argentina,Capital Federal,170,65,,,,10,blanco,moreno,EQ003003.PKF,861424,original
vélez-1506-24890,24890,vélez-1506,Vélez,Zárate,Favio Héctor ZARATE,0,True,Delantero,FW,Media punta por el centro,73,73,71,69,74,79,60,54,75,75,60,10,1971-04-01,27,Argentina,Argentina,Río Segundo (Cba),175,77,,,,15,blanco,moreno,EQ003003.PKF,866122,original
vélez-1506-25520,25520,vélez-1506,Vélez,Pandolfi,Fernando Daniel PANDOLFI,14,True,Delantero,FW,Media punta por el centro,80,80,78,79,83,83,79,78,77,78,50,10,1974-05-29,24,Argentina,Argentina,Buenos Aires (Argentina),178,75,,,,11,blanco,moreno,EQ003003.PKF,866435,original
vélez-1506-17376,17376,vélez-1506,Vélez,Husaín D.,Darío Fernando HUSAIN,22,True,Delantero,FW,Delantero centro,82,82,83,75,81,89,85,90,66,80,62,20,1976-05-02,22,Argentina,Argentina,Haedo (BA),178,70,,,,9,blanco,moreno,EQ003003.PKF,867065,original
vélez-1506-8856,8856,vélez-1506,Vélez,Cordone,Carlos Daniel CORDONE,19,True,Delantero,FW,Extremo izquierdo,81,81,88,79,77,82,88,87,63,81,68,19,1974-11-06,23,Argentina,Argentina,General Rodríguez (BA),174,70,,,,8,blanco,rubio,EQ003003.PKF,869614,original
argentinos-jrs-1607-17377,17377,argentinos-jrs-1607,Argentinos Jrs.,Sanzotti,Raúl Alejandro Ramón SANZOTTI,12,True,Portero,GK,Portero,69,69,69,69,68,73,26,25,21,20,35,60,1975-01-12,23,Argentina,Argentina,Inriville (Cba),178,72,,,,19,blanco,moreno,EQ003003.PKF,872981,original
argentinos-jrs-1607-6361,6361,argentinos-jrs-1607,Argentinos Jrs.,Pontiroli,Marcelo Luis PONTIROLI,1,True,Portero,GK,Portero,77,77,78,76,75,79,22,22,19,21,24,89,1972-01-22,26,Argentina,Argentina,San Andrés de Giles (BA),185,85,,,,1,blanco,moreno,EQ003003.PKF,873677,original
argentinos-jrs-1607-17378,17378,argentinos-jrs-1607,Argentinos Jrs.,Crudo,Guillermo Héctor CRUDO,21,True,Portero,GK,Portero,75,75,75,73,76,79,15,25,25,24,24,81,1967-08-11,30,Argentina,Argentina,Morón (BA),178,72,,,,12,blanco,moreno,EQ003003.PKF,875453,original
argentinos-jrs-1607-27549,27549,argentinos-jrs-1607,Argentinos Jrs.,Plaza,Sergio Orlando PLAZA,27,True,Defensa,DF,Lateral derecho,75,75,75,75,74,79,65,65,69,70,75,12,1976-02-14,22,Argentina,Argentina,Salta,,,,,,2,blanco,castano,EQ003003.PKF,876081,original
argentinos-jrs-1607-25637,25637,argentinos-jrs-1607,Argentinos Jrs.,Fernández,Néstor FERNÁNDEZ,4,True,Defensa,DF,Central derecho,74,74,77,84,71,67,59,69,51,63,73,21,1978-10-12,19,Argentina,Argentina,San Martín (BA),,,,,,13,blanco,castano,EQ003003.PKF,876215,original
argentinos-jrs-1607-17382,17382,argentinos-jrs-1607,Argentinos Jrs.,Cogliandro,Diego COGLIANDRO,22,True,Defensa,DF,Libre,76,76,77,75,74,78,69,63,67,63,75,18,1976-10-10,21,Argentina,Argentina,Capital Federal,176,65,,,,18,blanco,moreno,EQ003003.PKF,876577,original
argentinos-jrs-1607-17380,17380,argentinos-jrs-1607,Argentinos Jrs.,Cocca,Diego Martín COCCA,3,True,Defensa,DF,Central izquierdo,73,73,73,72,71,76,69,69,68,65,83,15,1972-02-11,26,Argentina,Argentina,Buenos Aires (Argentina),176,69,,,,6,blanco,moreno,EQ003003.PKF,877220,original
argentinos-jrs-1607-8820,8820,argentinos-jrs-1607,Argentinos Jrs.,Quinteros G.,Gustavo E. Domingo QUINTEROS,16,True,Defensa,DF,Libre,76,76,78,75,76,78,61,67,61,62,90,20,1965-02-15,33,Bolivia,Argentina,Cafferata (Santa Fé),188,82,,,,15,blanco,moreno,EQ003003.PKF,878477,original
argentinos-jrs-1607-17379,17379,argentinos-jrs-1607,Argentinos Jrs.,Luque,Sergio Gustavo LUQUE,20,True,Defensa,DF,Central izquierdo,76,76,77,74,76,78,68,69,63,66,90,11,1975-06-17,23,Argentina,Argentina,San Martín (BA),176,65,,,,17,blanco,moreno,EQ003003.PKF,880622,original
argentinos-jrs-1607-17381,17381,argentinos-jrs-1607,Argentinos Jrs.,Garfagnoli,Fabián Alberto GARFAGNOLI,6,True,Defensa,DF,Lateral izquierdo,71,71,74,72,71,70,60,66,68,61,85,10,1970-08-17,27,Argentina,Argentina,Fighiera (SF),176,65,,,,4,blanco,castano,EQ003003.PKF,881421,original
argentinos-jrs-1607-17385,17385,argentinos-jrs-1607,Argentinos Jrs.,Schiavi,Rolando Carlos SCHIAVI,2,True,Defensa,DF,Central izquierdo,76,76,75,78,75,78,68,62,62,63,86,20,1973-01-18,25,Argentina,Argentina,Lincoln (BA),179,70,,,,3,blanco,moreno,EQ003003.PKF,882238,original
argentinos-jrs-1607-25638,25638,argentinos-jrs-1607,Argentinos Jrs.,Solana,Gerardo SOLANA,8,True,Medio,MF,Medio centro organizador,79,79,77,79,80,83,70,65,70,70,80,12,,,Argentina,Argentina,-,,,,,,7,blanco,castano,EQ003003.PKF,883347,original
argentinos-jrs-1607-17397,17397,argentinos-jrs-1607,Argentinos Jrs.,Tradito,Gustavo Martín TRADITO,23,True,Medio,MF,Media punta por el centro,77,77,80,77,74,80,60,83,80,66,66,15,1978-03-11,20,Argentina,Argentina,Capital Federal,179,76,,,,20,blanco,moreno,EQ003003.PKF,883455,original
argentinos-jrs-1607-25521,25521,argentinos-jrs-1607,Argentinos Jrs.,Insúa,Federico INSÚA,15,True,Medio,MF,Interior derecho,79,79,78,75,79,84,70,71,75,76,55,10,1980-01-03,18,Argentina,Argentina,Buenos Aires (Argentina),,,,,,10,blanco,castano,EQ003003.PKF,884353,original
argentinos-jrs-1607-25522,25522,argentinos-jrs-1607,Argentinos Jrs.,Cartés,Roberto CARTÉS Contreras,10,True,Medio,MF,Media punta izquierda,76,76,76,74,76,79,70,75,77,75,55,10,1972-09-06,25,Chile,Chile,Concepción,170,68,,,,9,blanco,moreno,EQ003003.PKF,884696,original
argentinos-jrs-1607-17391,17391,argentinos-jrs-1607,Argentinos Jrs.,Markic,Diego Fernando MARKIC,5,True,Medio,MF,Medio centro defensivo,76,76,73,79,75,77,63,90,85,66,65,18,1977-01-09,21,Argentina,Argentina,Capital Federal,188,84,,,,5,blanco,castano,EQ003003.PKF,884908,original
argentinos-jrs-1607-25639,25639,argentinos-jrs-1607,Argentinos Jrs.,Zagharián,Fernando ZAGHARIÁN,19,True,Delantero,FW,Extremo derecho,71,71,74,68,69,75,73,58,75,77,68,5,1977-01-13,21,Argentina,Argentina,Buenos Aires,,,,,,21,blanco,castano,EQ003003.PKF,885838,original
argentinos-jrs-1607-25523,25523,argentinos-jrs-1607,Argentinos Jrs.,Brizuela,Hugo BRIZUELA,7,True,Delantero,FW,Delantero centro,80,80,78,79,81,84,86,77,76,80,35,10,1970-02-08,28,Paraguay,Paraguay,Asunción (Paraguay),173,70,,,,11,blanco,moreno,EQ003003.PKF,885979,original
argentinos-jrs-1607-17394,17394,argentinos-jrs-1607,Argentinos Jrs.,Bennett,Eduardo BENNETT,11,True,Delantero,FW,Delantero centro,76,76,78,83,74,72,89,90,61,85,62,20,1968-09-17,29,Honduras,Honduras,La Ceiba Atlántica (Honduras),179,76,,,,14,negro,moreno,EQ003003.PKF,886597,original
